PhotoId,Product,Amount,TotalPrice
3170,T-shirt,1,11.99
1535,T-shirt,2,23.98
5989,Sleutelhanger,1,6.12
6776,Foto 20x30,1,4.95
6273,Foto 20x30,1,4.95
3036,Foto 10x15,2,5.1
3879,Foto 20x30,4,19.8
2955,T-shirt,2,23.98
1849,Mok met foto,2,19.9
2759,T-shirt,2,23.98
2893,Mok met foto,2,19.9
9477,Foto 10x15,2,5.1
4065,Mok met foto,2,19.9
7908,T-shirt,2,23.98
4602,Sleutelhanger,1,6.12
7094,Mok met foto,1,9.95
8421,T-shirt,1,11.99
5295,T-shirt,1,11.99
2750,Sleutelhanger,2,12.24
6934,Foto 20x30,1,4.95
9027,T-shirt,1,11.99
9661,Foto 10x15,1,2.55
3295,Foto 20x30,3,14.85
2881,T-shirt,1,11.99
2621,Mok met foto,1,9.95
9505,Mok met foto,3,29.85
3869,T-shirt,2,23.98
3049,Sleutelhanger,5,30.6
3670,T-shirt,3,35.97
5935,Sleutelhanger,2,12.24
7095,Foto 10x15,2,5.1
2163,Foto 20x30,1,4.95
4704,Foto 20x30,3,14.85
1599,Sleutelhanger,1,6.12
9893,Foto 20x30,5,24.75
8704,T-shirt,3,35.97
5792,Foto 20x30,2,9.9
4872,Sleutelhanger,3,18.36
9621,Foto 20x30,3,14.85
5699,Foto 20x30,3,14.85
6659,Foto 20x30,2,9.9
9358,Foto 10x15,2,5.1
9529,Foto 20x30,2,9.9
2613,Mok met foto,3,29.85
2180,Foto 20x30,3,14.85
9676,Mok met foto,1,9.95
1928,Mok met foto,1,9.95
7609,Mok met foto,2,19.9
4890,Foto 20x30,1,4.95
9124,Mok met foto,5,49.75
6856,Foto 20x30,1,4.95
2036,Foto 10x15,4,10.2
3429,Mok met foto,3,29.85
3303,Foto 20x30,1,4.95
2541,Foto 20x30,3,14.85
2866,T-shirt,1,11.99
9993,Foto 10x15,2,5.1
3986,Foto 10x15,2,5.1
4460,Mok met foto,5,49.75
2500,Mok met foto,1,9.95
7467,T-shirt,1,11.99
4459,Foto 20x30,1,4.95
4322,Sleutelhanger,1,6.12
8338,Foto 20x30,1,4.95
2785,Sleutelhanger,3,18.36
8322,Sleutelhanger,2,12.24
9164,Sleutelhanger,4,24.48
9064,Foto 20x30,2,9.9
4182,T-shirt,1,11.99
7809,Foto 10x15,4,10.2
3598,Foto 20x30,2,9.9
4804,Foto 20x30,1,4.95
8371,Sleutelhanger,1,6.12
6755,Sleutelhanger,5,30.6
2980,T-shirt,3,35.97
9760,Sleutelhanger,2,12.24
2598,T-shirt,1,11.99
5177,Foto 20x30,1,4.95
4106,T-shirt,1,11.99
1026,T-shirt,1,11.99
1373,Mok met foto,2,19.9
8712,Foto 10x15,3,7.65
7891,Foto 10x15,1,2.55
3843,Foto 10x15,1,2.55
1284,Sleutelhanger,1,6.12
5462,Mok met foto,1,9.95
2361,Sleutelhanger,1,6.12
1831,Mok met foto,2,19.9
9262,Foto 10x15,1,2.55
1486,Foto 20x30,5,24.75
6786,Foto 10x15,2,5.1
9532,Mok met foto,2,19.9
9389,T-shirt,1,11.99
9242,Foto 20x30,2,9.9
2228,Foto 10x15,1,2.55
8960,Sleutelhanger,5,30.6
1282,Foto 10x15,1,2.55
7931,T-shirt,2,23.98
6614,Foto 10x15,3,7.65
8037,Sleutelhanger,4,24.48
1270,Mok met foto,1,9.95
8359,T-shirt,1,11.99
7960,Mok met foto,1,9.95
2355,Foto 10x15,1,2.55
8462,Foto 10x15,1,2.55
6740,T-shirt,1,11.99
1356,Mok met foto,1,9.95
3886,Mok met foto,2,19.9
3680,Foto 10x15,2,5.1
8451,Foto 20x30,1,4.95
3438,Foto 20x30,1,4.95
1384,Mok met foto,3,29.85
3937,Sleutelhanger,3,18.36
5044,Foto 20x30,3,14.85
2839,Foto 10x15,5,12.75
8156,Foto 20x30,3,14.85
5755,Sleutelhanger,1,6.12
2571,Sleutelhanger,4,24.48
3365,Foto 10x15,3,7.65
3471,Foto 10x15,1,2.55
8184,T-shirt,2,23.98
3064,T-shirt,2,23.98
3077,Mok met foto,2,19.9
2706,Foto 10x15,2,5.1
8526,Foto 20x30,4,19.8
5308,T-shirt,1,11.99
4664,Foto 20x30,1,4.95
9707,Foto 20x30,1,4.95
1878,Foto 20x30,2,9.9
6354,Foto 10x15,2,5.1
2922,Foto 10x15,1,2.55
1430,Mok met foto,2,19.9
4537,Foto 10x15,2,5.1
3175,Foto 10x15,3,7.65
2271,Foto 10x15,2,5.1
6767,Foto 20x30,3,14.85
2562,Sleutelhanger,1,6.12
6136,T-shirt,2,23.98
3266,Foto 20x30,3,14.85
3043,Sleutelhanger,3,18.36
1786,Mok met foto,1,9.95
6345,Foto 10x15,1,2.55
8579,Foto 10x15,2,5.1
7035,Foto 20x30,2,9.9
1284,Foto 20x30,3,14.85
5109,Sleutelhanger,1,6.12
4489,Mok met foto,1,9.95
6657,T-shirt,3,35.97
9690,T-shirt,3,35.97
4153,T-shirt,1,11.99
8755,Mok met foto,2,19.9
7916,Sleutelhanger,1,6.12
4655,T-shirt,1,11.99
2210,Foto 10x15,2,5.1
9627,Foto 20x30,1,4.95
8297,Foto 10x15,1,2.55
6476,T-shirt,2,23.98
9104,Foto 20x30,1,4.95
8472,T-shirt,2,23.98
5515,Sleutelhanger,1,6.12
9396,T-shirt,3,35.97
4075,Sleutelhanger,1,6.12
4914,Mok met foto,3,29.85
4086,Sleutelhanger,2,12.24
9685,Mok met foto,1,9.95
5980,T-shirt,1,11.99
8641,Sleutelhanger,5,30.6
6331,Foto 10x15,1,2.55
2260,T-shirt,3,35.97
1711,Foto 10x15,1,2.55
8662,Foto 20x30,2,9.9
5472,Sleutelhanger,2,12.24
9071,Mok met foto,2,19.9
9623,Sleutelhanger,3,18.36
3432,Sleutelhanger,1,6.12
9447,Foto 20x30,1,4.95
9093,Foto 20x30,3,14.85
6925,Sleutelhanger,4,24.48
2155,Foto 20x30,3,14.85
8045,Foto 10x15,1,2.55
9657,Foto 20x30,1,4.95
2123,Foto 10x15,2,5.1
1006,T-shirt,4,47.96
9679,T-shirt,1,11.99
2712,Foto 20x30,3,14.85
6746,Foto 10x15,3,7.65
