PhotoId,Product,Amount,TotalPrice
8627,Mok met foto,2,19.9
9321,Mok met foto,2,19.9
4113,Mok met foto,1,9.95
1429,Foto 10x15,4,10.2
3410,T-shirt,1,11.99
3804,Sleutelhanger,1,6.12
4020,Sleutelhanger,3,18.36
1286,Sleutelhanger,5,30.6
1275,Sleutelhanger,1,6.12
1304,Foto 10x15,2,5.1
2742,Foto 20x30,5,24.75
6073,Foto 20x30,3,14.85
7399,Foto 20x30,5,24.75
6928,Foto 10x15,4,10.2
8620,Mok met foto,1,9.95
1931,Mok met foto,5,49.75
7659,Foto 10x15,2,5.1
4147,T-shirt,1,11.99
3786,Foto 20x30,1,4.95
5259,Foto 20x30,1,4.95
2562,Mok met foto,2,19.9
5762,Foto 10x15,1,2.55
6256,Mok met foto,1,9.95
2976,Mok met foto,1,9.95
7646,Mok met foto,3,29.85
5483,Foto 20x30,1,4.95
2850,T-shirt,3,35.97
2378,Sleutelhanger,2,12.24
9317,Foto 10x15,3,7.65
5213,Foto 10x15,4,10.2
6804,Mok met foto,4,39.8
5003,Mok met foto,3,29.85
7334,T-shirt,3,35.97
8791,Foto 20x30,2,9.9
3445,Sleutelhanger,1,6.12
1615,Foto 10x15,3,7.65
6912,Foto 10x15,2,5.1
3413,T-shirt,2,23.98
8348,Mok met foto,2,19.9
2459,T-shirt,2,23.98
3097,Mok met foto,1,9.95
1875,Mok met foto,1,9.95
7111,Sleutelhanger,1,6.12
1683,Sleutelhanger,4,24.48
5379,Foto 20x30,3,14.85
5619,Foto 20x30,1,4.95
6683,Foto 20x30,3,14.85
4924,Foto 20x30,1,4.95
1371,Foto 20x30,1,4.95
9851,Mok met foto,5,49.75
7305,Foto 10x15,1,2.55
9501,Sleutelhanger,3,18.36
7661,Foto 20x30,2,9.9
9301,Foto 20x30,1,4.95
5359,Sleutelhanger,3,18.36
5270,Sleutelhanger,2,12.24
8602,Sleutelhanger,2,12.24
6438,Foto 20x30,2,9.9
7439,T-shirt,2,23.98
7125,Sleutelhanger,1,6.12
6216,Foto 10x15,1,2.55
7779,Foto 20x30,3,14.85
2653,T-shirt,2,23.98
3436,Foto 10x15,1,2.55
4799,Mok met foto,2,19.9
6583,Sleutelhanger,2,12.24
6150,Foto 10x15,3,7.65
5070,Foto 10x15,1,2.55
2171,Sleutelhanger,1,6.12
8076,Mok met foto,3,29.85
6750,Foto 20x30,2,9.9
1950,Sleutelhanger,1,6.12
4673,Foto 20x30,5,24.75
3131,Foto 10x15,3,7.65
3174,T-shirt,2,23.98
7295,Sleutelhanger,3,18.36
5671,Foto 20x30,1,4.95
9755,Sleutelhanger,2,12.24
3536,Sleutelhanger,2,12.24
7579,Mok met foto,1,9.95
6737,Sleutelhanger,1,6.12
1541,Sleutelhanger,2,12.24
3529,Sleutelhanger,2,12.24
5673,Foto 20x30,4,19.8
1317,T-shirt,2,23.98
4916,T-shirt,1,11.99
8736,Mok met foto,5,49.75
6371,T-shirt,2,23.98
2042,Foto 20x30,1,4.95
4432,Mok met foto,1,9.95
5169,Foto 10x15,3,7.65
3557,Mok met foto,1,9.95
3944,Mok met foto,2,19.9
2172,Foto 20x30,1,4.95
1323,Foto 20x30,3,14.85
8205,Foto 10x15,2,5.1
3532,Sleutelhanger,1,6.12
9886,T-shirt,2,23.98
2859,Sleutelhanger,2,12.24
6586,Sleutelhanger,1,6.12
9081,Foto 10x15,1,2.55
8704,Sleutelhanger,2,12.24
8750,Foto 10x15,1,2.55
6235,T-shirt,3,35.97
5345,T-shirt,1,11.99
5174,Sleutelhanger,1,6.12
2821,Mok met foto,4,39.8
5598,Foto 20x30,2,9.9
7388,T-shirt,3,35.97
4664,Foto 10x15,2,5.1
5954,Foto 20x30,1,4.95
9857,T-shirt,1,11.99
6276,T-shirt,2,23.98
3563,Sleutelhanger,2,12.24
6073,Sleutelhanger,1,6.12
3613,T-shirt,2,23.98
7623,Foto 20x30,1,4.95
3908,Foto 20x30,1,4.95
3074,Mok met foto,2,19.9
9245,T-shirt,2,23.98
3760,Foto 10x15,4,10.2
2899,Foto 20x30,1,4.95
3240,Foto 20x30,5,24.75
9166,Mok met foto,5,49.75
7831,T-shirt,3,35.97
5833,Sleutelhanger,1,6.12
7098,Sleutelhanger,3,18.36
8202,Foto 10x15,2,5.1
6440,Sleutelhanger,3,18.36
1178,Foto 20x30,4,19.8
4250,Foto 20x30,4,19.8
1061,T-shirt,1,11.99
7016,T-shirt,2,23.98
6764,Sleutelhanger,3,18.36
6414,Foto 20x30,3,14.85
8629,T-shirt,4,47.96
7331,Sleutelhanger,3,18.36
2990,Foto 20x30,1,4.95
9398,Mok met foto,1,9.95
2669,Foto 10x15,4,10.2
9689,Foto 10x15,3,7.65
3495,T-shirt,1,11.99
9007,Sleutelhanger,2,12.24
5076,Foto 10x15,1,2.55
6706,Mok met foto,1,9.95
9153,Foto 10x15,3,7.65
8012,Sleutelhanger,2,12.24
7602,Foto 10x15,3,7.65
9434,Foto 10x15,1,2.55
6437,T-shirt,3,35.97
6578,Foto 20x30,2,9.9
7741,Foto 20x30,1,4.95
8890,T-shirt,1,11.99
1165,Foto 10x15,2,5.1
4040,T-shirt,2,23.98
3950,Sleutelhanger,2,12.24
9080,Mok met foto,2,19.9
5943,Mok met foto,2,19.9
5876,Foto 10x15,2,5.1
6194,Sleutelhanger,1,6.12
1677,Foto 10x15,2,5.1
2528,Sleutelhanger,3,18.36
5174,Mok met foto,2,19.9
7945,T-shirt,2,23.98
2844,Mok met foto,4,39.8
7745,Sleutelhanger,1,6.12
4852,Mok met foto,1,9.95
9756,Mok met foto,1,9.95
6073,Sleutelhanger,5,30.6
4810,Foto 20x30,1,4.95
4147,T-shirt,1,11.99
4187,Sleutelhanger,3,18.36
5371,Foto 10x15,1,2.55
9631,Foto 20x30,3,14.85
1805,Sleutelhanger,1,6.12
8585,Foto 20x30,1,4.95
8381,Mok met foto,2,19.9
4003,T-shirt,1,11.99
6149,Mok met foto,2,19.9
1414,Foto 20x30,3,14.85
2704,T-shirt,2,23.98
1700,Foto 10x15,1,2.55
6096,Mok met foto,2,19.9
