PhotoId,Product,Amount,TotalPrice
4859,Sleutelhanger,2,12.24
6373,Foto 10x15,2,5.1
7584,Foto 20x30,1,4.95
1228,Foto 10x15,3,7.65
4371,Foto 10x15,1,2.55
3282,Foto 20x30,2,9.9
4260,Foto 10x15,2,5.1
7837,Mok met foto,1,9.95
5724,Foto 10x15,5,12.75
4174,Sleutelhanger,3,18.36
6874,Foto 20x30,1,4.95
8661,Foto 10x15,1,2.55
4017,Foto 20x30,3,14.85
8849,Sleutelhanger,2,12.24
9340,Sleutelhanger,1,6.12
5983,T-shirt,1,11.99
5050,Sleutelhanger,3,18.36
2533,Foto 20x30,1,4.95
5803,Foto 10x15,3,7.65
8355,Foto 20x30,1,4.95
3775,Foto 20x30,2,9.9
7279,Mok met foto,2,19.9
3527,Foto 10x15,1,2.55
3318,Sleutelhanger,2,12.24
6904,Sleutelhanger,3,18.36
3259,Foto 10x15,3,7.65
8849,Sleutelhanger,3,18.36
1010,Mok met foto,2,19.9
3782,T-shirt,1,11.99
5807,Sleutelhanger,1,6.12
2407,Sleutelhanger,3,18.36
3242,Foto 20x30,3,14.85
1152,Foto 10x15,5,12.75
7988,Sleutelhanger,4,24.48
9868,Sleutelhanger,4,24.48
5883,Foto 20x30,1,4.95
5609,T-shirt,3,35.97
7252,Foto 20x30,1,4.95
7593,Sleutelhanger,2,12.24
2425,Foto 20x30,1,4.95
8430,Foto 10x15,3,7.65
8540,Foto 10x15,2,5.1
3198,Mok met foto,1,9.95
9616,Foto 10x15,2,5.1
4245,Sleutelhanger,1,6.12
3322,Mok met foto,2,19.9
9633,Foto 20x30,2,9.9
2066,Sleutelhanger,2,12.24
3321,Mok met foto,2,19.9
5940,Foto 20x30,1,4.95
6335,Foto 20x30,3,14.85
8358,T-shirt,2,23.98
4122,Mok met foto,2,19.9
3988,Sleutelhanger,1,6.12
6025,Foto 20x30,1,4.95
6484,Sleutelhanger,3,18.36
6269,Foto 10x15,1,2.55
5413,T-shirt,2,23.98
5061,Foto 10x15,1,2.55
6221,T-shirt,2,23.98
6620,T-shirt,2,23.98
9962,Mok met foto,4,39.8
3357,T-shirt,3,35.97
6406,Mok met foto,1,9.95
1246,T-shirt,2,23.98
2481,Mok met foto,1,9.95
3744,Foto 10x15,3,7.65
2814,Mok met foto,4,39.8
4070,Foto 20x30,1,4.95
9911,Foto 10x15,1,2.55
7641,Sleutelhanger,3,18.36
2956,T-shirt,2,23.98
4941,Sleutelhanger,3,18.36
8431,Sleutelhanger,1,6.12
1637,Foto 10x15,3,7.65
3188,Foto 10x15,4,10.2
5461,T-shirt,1,11.99
2847,Foto 20x30,1,4.95
3837,Foto 10x15,1,2.55
2361,Mok met foto,2,19.9
7817,Foto 20x30,1,4.95
9431,T-shirt,3,35.97
3782,Sleutelhanger,2,12.24
3935,Sleutelhanger,2,12.24
6806,Foto 20x30,3,14.85
9413,Foto 20x30,2,9.9
4561,Sleutelhanger,5,30.6
7977,T-shirt,1,11.99
1538,Mok met foto,2,19.9
5085,T-shirt,4,47.96
9163,T-shirt,1,11.99
3759,Foto 10x15,1,2.55
2479,Mok met foto,2,19.9
2768,Sleutelhanger,1,6.12
1923,Foto 20x30,1,4.95
5370,Mok met foto,3,29.85
1052,Mok met foto,1,9.95
1518,T-shirt,4,47.96
1077,T-shirt,2,23.98
2899,Foto 10x15,2,5.1
6282,Foto 20x30,1,4.95
1964,Foto 10x15,1,2.55
7722,Foto 10x15,2,5.1
9614,Mok met foto,1,9.95
2129,T-shirt,1,11.99
3405,Mok met foto,1,9.95
5253,T-shirt,2,23.98
9201,Foto 20x30,1,4.95
9395,Foto 10x15,2,5.1
9973,Foto 10x15,3,7.65
4260,Sleutelhanger,1,6.12
3184,T-shirt,2,23.98
9780,Foto 10x15,2,5.1
6205,Foto 20x30,4,19.8
3018,Foto 10x15,1,2.55
9179,Foto 10x15,2,5.1
4103,Foto 10x15,5,12.75
5633,Foto 10x15,3,7.65
5207,Sleutelhanger,2,12.24
8251,T-shirt,2,23.98
9245,Mok met foto,2,19.9
9712,Sleutelhanger,3,18.36
5121,Foto 20x30,1,4.95
9699,Foto 10x15,1,2.55
8730,Foto 20x30,1,4.95
4585,Foto 10x15,3,7.65
6462,Sleutelhanger,1,6.12
1163,Foto 10x15,2,5.1
1033,T-shirt,1,11.99
4799,Foto 10x15,3,7.65
7247,Mok met foto,2,19.9
6340,Mok met foto,1,9.95
3249,Sleutelhanger,1,6.12
3539,Foto 20x30,1,4.95
5472,Mok met foto,1,9.95
7261,Foto 20x30,1,4.95
5036,T-shirt,1,11.99
4386,Sleutelhanger,2,12.24
4451,T-shirt,3,35.97
2504,Mok met foto,1,9.95
8398,T-shirt,1,11.99
1008,Foto 10x15,2,5.1
4300,Foto 10x15,1,2.55
9594,T-shirt,3,35.97
5974,Sleutelhanger,4,24.48
6918,Foto 20x30,3,14.85
1057,Foto 20x30,1,4.95
1517,Foto 10x15,5,12.75
7477,Sleutelhanger,3,18.36
4067,T-shirt,2,23.98
8767,Mok met foto,5,49.75
7866,Foto 20x30,2,9.9
1452,Foto 20x30,3,14.85
9010,Sleutelhanger,2,12.24
7793,Mok met foto,1,9.95
