PhotoId,Product,Amount,TotalPrice
5112,Foto 20x30,3,14.85
4040,Foto 20x30,1,4.95
9221,Sleutelhanger,1,6.12
7697,T-shirt,1,11.99
6202,Mok met foto,2,19.9
4652,T-shirt,1,11.99
9432,Mok met foto,2,19.9
3461,Mok met foto,3,29.85
5092,T-shirt,3,35.97
6995,T-shirt,2,23.98
7974,Sleutelhanger,2,12.24
2059,Mok met foto,1,9.95
7514,Foto 20x30,2,9.9
8843,Foto 10x15,1,2.55
5524,Mok met foto,2,19.9
1412,Mok met foto,2,19.9
3401,Foto 20x30,2,9.9
2296,Foto 20x30,1,4.95
1876,Sleutelhanger,2,12.24
3812,Foto 20x30,1,4.95
8192,T-shirt,1,11.99
3624,Foto 10x15,1,2.55
2346,Sleutelhanger,1,6.12
4775,Foto 20x30,3,14.85
3770,T-shirt,3,35.97
3969,T-shirt,2,23.98
6129,Foto 10x15,4,10.2
6455,Foto 20x30,2,9.9
6465,Foto 10x15,3,7.65
2760,T-shirt,4,47.96
4235,Foto 10x15,2,5.1
5842,T-shirt,3,35.97
3573,Mok met foto,1,9.95
5968,Foto 20x30,3,14.85
3653,Sleutelhanger,4,24.48
4376,Foto 10x15,3,7.65
3575,Mok met foto,1,9.95
4822,Mok met foto,1,9.95
8626,Mok met foto,1,9.95
2102,Sleutelhanger,2,12.24
3550,Foto 20x30,3,14.85
5698,Foto 10x15,1,2.55
5833,Foto 20x30,2,9.9
9135,Foto 10x15,3,7.65
9306,Mok met foto,1,9.95
1373,Sleutelhanger,4,24.48
3155,Sleutelhanger,4,24.48
7404,T-shirt,2,23.98
5723,Mok met foto,1,9.95
8169,Mok met foto,1,9.95
4080,Foto 20x30,1,4.95
7150,Foto 10x15,4,10.2
9707,T-shirt,3,35.97
4918,Foto 10x15,3,7.65
5522,Sleutelhanger,4,24.48
5363,Foto 20x30,1,4.95
3396,Mok met foto,1,9.95
4194,Foto 20x30,2,9.9
2119,Sleutelhanger,1,6.12
4812,Sleutelhanger,1,6.12
4740,Sleutelhanger,3,18.36
1310,Foto 10x15,1,2.55
2393,T-shirt,1,11.99
5422,Foto 10x15,1,2.55
8917,T-shirt,1,11.99
9412,T-shirt,1,11.99
6371,Sleutelhanger,1,6.12
9640,Foto 20x30,1,4.95
3233,Foto 20x30,3,14.85
1033,Mok met foto,1,9.95
4760,Foto 20x30,1,4.95
7733,Mok met foto,2,19.9
5690,T-shirt,3,35.97
9058,T-shirt,1,11.99
7495,Foto 20x30,3,14.85
3736,Mok met foto,1,9.95
5788,Mok met foto,2,19.9
6594,T-shirt,2,23.98
5454,Mok met foto,1,9.95
6704,T-shirt,1,11.99
4204,T-shirt,3,35.97
6543,T-shirt,2,23.98
1763,Sleutelhanger,2,12.24
3997,Foto 10x15,1,2.55
2248,Foto 10x15,2,5.1
1413,Sleutelhanger,1,6.12
3123,Foto 10x15,1,2.55
2301,Foto 10x15,3,7.65
6583,Foto 20x30,2,9.9
1737,Sleutelhanger,1,6.12
1987,T-shirt,2,23.98
5798,T-shirt,1,11.99
8218,Foto 10x15,2,5.1
5374,Sleutelhanger,1,6.12
8838,Foto 20x30,1,4.95
7643,Foto 10x15,3,7.65
3105,Foto 10x15,1,2.55
1042,Foto 20x30,1,4.95
9899,Mok met foto,1,9.95
9176,Foto 20x30,2,9.9
9132,Sleutelhanger,1,6.12
9632,Sleutelhanger,1,6.12
8633,Foto 20x30,1,4.95
6634,Foto 20x30,1,4.95
1802,Foto 10x15,1,2.55
7807,Sleutelhanger,4,24.48
1158,Mok met foto,1,9.95
2171,T-shirt,2,23.98
8975,Foto 20x30,2,9.9
5075,Sleutelhanger,3,18.36
9943,Foto 10x15,3,7.65
8535,T-shirt,3,35.97
6734,Sleutelhanger,2,12.24
6251,Mok met foto,1,9.95
5098,Foto 10x15,1,2.55
5805,Foto 10x15,4,10.2
8407,Foto 20x30,5,24.75
8719,Mok met foto,1,9.95
4291,Mok met foto,1,9.95
4094,Sleutelhanger,1,6.12
9076,Foto 10x15,4,10.2
4482,Mok met foto,2,19.9
5023,Mok met foto,1,9.95
9780,Mok met foto,2,19.9
6386,T-shirt,2,23.98
7731,Foto 20x30,2,9.9
8974,Sleutelhanger,1,6.12
6998,Sleutelhanger,5,30.6
4008,Foto 10x15,1,2.55
9600,Foto 20x30,3,14.85
1408,Foto 20x30,2,9.9
4875,Mok met foto,2,19.9
5447,Foto 10x15,3,7.65
6723,Foto 10x15,2,5.1
6556,Sleutelhanger,1,6.12
4728,Mok met foto,1,9.95
5924,Foto 10x15,1,2.55
9856,T-shirt,3,35.97
8195,Foto 10x15,3,7.65
3079,Sleutelhanger,4,24.48
8159,Mok met foto,3,29.85
1517,Foto 10x15,2,5.1
2309,Foto 20x30,3,14.85
9259,Sleutelhanger,4,24.48
1860,Sleutelhanger,1,6.12
7193,Foto 20x30,1,4.95
6829,T-shirt,1,11.99
2378,Mok met foto,1,9.95
5111,T-shirt,1,11.99
4308,Foto 10x15,1,2.55
1585,Foto 20x30,5,24.75
9263,Foto 20x30,3,14.85
5334,Sleutelhanger,1,6.12
4047,Sleutelhanger,1,6.12
5994,Foto 20x30,3,14.85
4224,T-shirt,1,11.99
8694,Foto 10x15,1,2.55
5784,T-shirt,1,11.99
4624,Foto 20x30,2,9.9
3265,T-shirt,2,23.98
8962,Foto 10x15,3,7.65
9994,Sleutelhanger,3,18.36
5440,Foto 10x15,3,7.65
9020,T-shirt,3,35.97
7548,T-shirt,1,11.99
4447,Mok met foto,3,29.85
1163,Foto 10x15,1,2.55
3749,Mok met foto,2,19.9
4786,T-shirt,2,23.98
1361,Foto 20x30,3,14.85
5828,Mok met foto,1,9.95
2176,T-shirt,1,11.99
7601,T-shirt,1,11.99
8610,T-shirt,2,23.98
6357,Foto 20x30,1,4.95
8543,Mok met foto,2,19.9
9043,Mok met foto,1,9.95
5965,T-shirt,1,11.99
7890,Mok met foto,3,29.85
7716,Mok met foto,1,9.95
1264,Mok met foto,1,9.95
8235,Sleutelhanger,2,12.24
2751,Foto 20x30,3,14.85
1693,Foto 20x30,5,24.75
6198,Mok met foto,1,9.95
5689,Sleutelhanger,3,18.36
3744,Foto 10x15,3,7.65
8463,Sleutelhanger,1,6.12
5262,T-shirt,3,35.97
7988,Mok met foto,2,19.9
8599,Sleutelhanger,1,6.12
7423,T-shirt,2,23.98
6253,Foto 20x30,3,14.85
7008,Foto 20x30,2,9.9
2215,T-shirt,2,23.98
3793,T-shirt,1,11.99
3911,Foto 20x30,3,14.85
2403,Foto 20x30,3,14.85
3445,Foto 10x15,2,5.1
8390,Sleutelhanger,3,18.36
5550,Foto 10x15,1,2.55
9910,Foto 20x30,1,4.95
7787,Foto 10x15,1,2.55
4090,T-shirt,1,11.99
4902,Foto 20x30,2,9.9
7566,Foto 20x30,1,4.95
4374,T-shirt,3,35.97
6005,Mok met foto,1,9.95
2655,Sleutelhanger,5,30.6
1898,Mok met foto,1,9.95
4460,Foto 10x15,4,10.2
7890,Mok met foto,2,19.9
2740,Sleutelhanger,3,18.36
2510,Foto 10x15,2,5.1
3553,T-shirt,3,35.97
3943,Mok met foto,4,39.8
7486,Sleutelhanger,3,18.36
