PhotoId,Product,Amount,TotalPrice
4271,Foto 20x30,1,4.95
1370,Sleutelhanger,2,12.24
7646,Mok met foto,2,19.9
1384,T-shirt,2,23.98
1537,Sleutelhanger,1,6.12
5158,Sleutelhanger,1,6.12
5396,T-shirt,4,47.96
6013,Sleutelhanger,2,12.24
8827,Mok met foto,2,19.9
6258,Foto 20x30,2,9.9
3005,Foto 10x15,1,2.55
6717,Sleutelhanger,3,18.36
1340,T-shirt,2,23.98
8502,Foto 20x30,2,9.9
3217,Sleutelhanger,4,24.48
5269,Foto 20x30,2,9.9
1212,Foto 10x15,4,10.2
5362,T-shirt,3,35.97
2157,T-shirt,2,23.98
9953,Foto 20x30,3,14.85
7413,T-shirt,3,35.97
7389,Sleutelhanger,1,6.12
8152,Foto 10x15,1,2.55
9123,Foto 10x15,3,7.65
3725,Foto 10x15,5,12.75
8945,T-shirt,2,23.98
2352,Mok met foto,1,9.95
2786,Foto 10x15,1,2.55
4965,Sleutelhanger,2,12.24
4095,Foto 20x30,2,9.9
9705,Mok met foto,3,29.85
8926,Foto 20x30,4,19.8
4879,Sleutelhanger,1,6.12
5590,Mok met foto,2,19.9
7825,Foto 20x30,1,4.95
3457,T-shirt,1,11.99
6704,Foto 20x30,1,4.95
4301,Sleutelhanger,3,18.36
2337,T-shirt,2,23.98
4206,Foto 20x30,3,14.85
7621,T-shirt,1,11.99
4333,Foto 20x30,2,9.9
6524,T-shirt,2,23.98
1558,Mok met foto,3,29.85
8557,T-shirt,2,23.98
3500,T-shirt,2,23.98
1591,Sleutelhanger,3,18.36
9917,T-shirt,4,47.96
2109,Foto 10x15,1,2.55
3333,Foto 10x15,4,10.2
5095,Foto 10x15,1,2.55
8583,Foto 20x30,1,4.95
8532,Foto 20x30,3,14.85
5853,T-shirt,1,11.99
9838,Sleutelhanger,3,18.36
4232,Sleutelhanger,1,6.12
1973,Foto 20x30,2,9.9
3726,T-shirt,1,11.99
2374,T-shirt,2,23.98
4262,Foto 10x15,3,7.65
7294,Sleutelhanger,1,6.12
9499,Mok met foto,4,39.8
5730,Foto 20x30,1,4.95
5726,T-shirt,1,11.99
4098,Foto 10x15,2,5.1
8935,Foto 10x15,4,10.2
5154,Foto 10x15,1,2.55
2702,Foto 10x15,4,10.2
2890,Sleutelhanger,1,6.12
4246,Mok met foto,2,19.9
1778,Foto 20x30,2,9.9
6029,Sleutelhanger,2,12.24
5683,Sleutelhanger,3,18.36
7100,Mok met foto,3,29.85
9314,Mok met foto,5,49.75
3609,Mok met foto,4,39.8
3322,Foto 10x15,1,2.55
3185,Sleutelhanger,1,6.12
7905,Foto 20x30,2,9.9
7546,Foto 20x30,1,4.95
3653,Mok met foto,3,29.85
5786,Foto 20x30,4,19.8
1548,Mok met foto,2,19.9
2092,Foto 20x30,1,4.95
6707,Mok met foto,4,39.8
8848,Sleutelhanger,2,12.24
5469,Foto 20x30,3,14.85
1011,Foto 20x30,2,9.9
7435,T-shirt,4,47.96
8378,Foto 10x15,2,5.1
8742,Foto 20x30,2,9.9
8399,T-shirt,1,11.99
8300,Mok met foto,1,9.95
2359,Foto 20x30,1,4.95
2048,Foto 20x30,2,9.9
2089,Mok met foto,3,29.85
9736,Mok met foto,1,9.95
6765,Foto 20x30,3,14.85
7020,Foto 20x30,3,14.85
3449,T-shirt,2,23.98
2599,Mok met foto,3,29.85
6861,Mok met foto,2,19.9
3962,T-shirt,5,59.95
1821,Foto 20x30,1,4.95
7349,Foto 20x30,2,9.9
7300,Sleutelhanger,4,24.48
3237,Foto 20x30,2,9.9
3243,Mok met foto,1,9.95
8330,Foto 20x30,2,9.9
1034,Mok met foto,2,19.9
5225,Sleutelhanger,1,6.12
3836,Sleutelhanger,1,6.12
2172,Mok met foto,1,9.95
2758,Foto 10x15,1,2.55
1450,T-shirt,2,23.98
2503,T-shirt,1,11.99
8501,Foto 10x15,1,2.55
6524,T-shirt,1,11.99
4374,Mok met foto,5,49.75
9273,Sleutelhanger,3,18.36
9523,T-shirt,2,23.98
9348,T-shirt,3,35.97
8228,Foto 10x15,2,5.1
7387,Mok met foto,1,9.95
7470,Foto 20x30,1,4.95
9984,Foto 10x15,1,2.55
9679,Foto 10x15,1,2.55
9505,Sleutelhanger,2,12.24
7505,Foto 10x15,5,12.75
3098,Foto 10x15,1,2.55
3144,Mok met foto,5,49.75
7431,Mok met foto,5,49.75
6534,Foto 20x30,5,24.75
4119,T-shirt,1,11.99
1346,Foto 10x15,1,2.55
4864,Sleutelhanger,1,6.12
4747,Mok met foto,2,19.9
6402,Sleutelhanger,2,12.24
9833,T-shirt,1,11.99
1502,Foto 10x15,1,2.55
4159,Foto 10x15,4,10.2
8809,Mok met foto,2,19.9
2931,T-shirt,3,35.97
