PhotoId,Product,Amount,TotalPrice
1632,Sleutelhanger,1,6.12
7808,Mok met foto,3,29.85
6841,T-shirt,1,11.99
1382,T-shirt,3,35.97
3027,Sleutelhanger,2,12.24
4753,Foto 10x15,4,10.2
1775,Mok met foto,1,9.95
3424,Foto 20x30,5,24.75
1964,T-shirt,2,23.98
4749,Mok met foto,2,19.9
7582,Sleutelhanger,3,18.36
1690,T-shirt,1,11.99
7263,Mok met foto,2,19.9
7175,Mok met foto,3,29.85
3397,Sleutelhanger,1,6.12
7517,Sleutelhanger,3,18.36
3300,Mok met foto,1,9.95
5207,Mok met foto,1,9.95
5855,T-shirt,2,23.98
8882,Mok met foto,2,19.9
4416,Sleutelhanger,1,6.12
6557,Foto 10x15,1,2.55
6803,Mok met foto,1,9.95
5290,Mok met foto,2,19.9
5334,Mok met foto,3,29.85
2860,T-shirt,2,23.98
4972,Foto 20x30,1,4.95
7073,Mok met foto,1,9.95
2240,Mok met foto,1,9.95
1575,Mok met foto,3,29.85
7608,Foto 20x30,1,4.95
1556,Mok met foto,3,29.85
6490,T-shirt,3,35.97
6876,Foto 20x30,1,4.95
8315,T-shirt,1,11.99
2911,Sleutelhanger,2,12.24
1100,Foto 20x30,1,4.95
1125,Foto 10x15,5,12.75
7323,Foto 20x30,1,4.95
3235,Foto 10x15,3,7.65
7923,T-shirt,2,23.98
4190,T-shirt,1,11.99
4144,Foto 20x30,1,4.95
5191,Sleutelhanger,4,24.48
8837,Mok met foto,3,29.85
9898,Foto 10x15,2,5.1
2314,T-shirt,1,11.99
9901,Foto 10x15,2,5.1
2552,Mok met foto,2,19.9
8794,T-shirt,2,23.98
4356,Foto 20x30,2,9.9
6635,Sleutelhanger,3,18.36
7980,Foto 20x30,3,14.85
6812,Sleutelhanger,1,6.12
7329,Foto 10x15,3,7.65
2748,Sleutelhanger,1,6.12
7741,Mok met foto,2,19.9
5949,Sleutelhanger,1,6.12
9819,Foto 10x15,1,2.55
9206,Mok met foto,2,19.9
6086,Sleutelhanger,1,6.12
9973,T-shirt,1,11.99
6560,Foto 10x15,3,7.65
9893,Mok met foto,2,19.9
1875,T-shirt,1,11.99
9830,T-shirt,4,47.96
1085,Sleutelhanger,3,18.36
9818,T-shirt,3,35.97
4644,Foto 10x15,2,5.1
9439,Foto 10x15,1,2.55
8887,Foto 20x30,2,9.9
7573,T-shirt,2,23.98
9409,Foto 20x30,2,9.9
3656,Mok met foto,2,19.9
2292,Foto 20x30,3,14.85
6458,Foto 10x15,1,2.55
5405,T-shirt,1,11.99
6102,T-shirt,4,47.96
7575,Foto 10x15,1,2.55
4149,Foto 10x15,1,2.55
2189,Mok met foto,2,19.9
4488,Sleutelhanger,1,6.12
5195,Sleutelhanger,2,12.24
4327,Sleutelhanger,3,18.36
7036,T-shirt,1,11.99
8116,T-shirt,2,23.98
3222,Foto 20x30,1,4.95
6324,Foto 20x30,2,9.9
9314,Foto 10x15,2,5.1
6213,T-shirt,3,35.97
3004,Sleutelhanger,2,12.24
1055,Sleutelhanger,3,18.36
8744,T-shirt,1,11.99
5726,Foto 10x15,1,2.55
4359,Foto 20x30,2,9.9
2748,Sleutelhanger,1,6.12
6584,Foto 10x15,1,2.55
8142,Mok met foto,3,29.85
9460,Foto 10x15,3,7.65
1120,Foto 10x15,2,5.1
1671,Foto 10x15,4,10.2
5033,Sleutelhanger,2,12.24
7624,Foto 20x30,2,9.9
6663,Foto 20x30,3,14.85
4416,Foto 10x15,1,2.55
9823,Sleutelhanger,1,6.12
3299,Mok met foto,4,39.8
5425,Foto 10x15,4,10.2
6180,Foto 20x30,3,14.85
2086,Mok met foto,2,19.9
1097,Foto 10x15,2,5.1
8896,Sleutelhanger,4,24.48
3543,Foto 10x15,3,7.65
6060,Foto 10x15,1,2.55
4641,T-shirt,2,23.98
8923,Mok met foto,2,19.9
2801,Foto 20x30,2,9.9
4657,Sleutelhanger,1,6.12
2170,Sleutelhanger,2,12.24
1290,Foto 10x15,2,5.1
2778,T-shirt,3,35.97
1269,T-shirt,2,23.98
1807,Foto 20x30,2,9.9
8509,Mok met foto,3,29.85
6115,T-shirt,2,23.98
3073,Sleutelhanger,2,12.24
1431,Foto 20x30,1,4.95
9609,Sleutelhanger,3,18.36
1708,Sleutelhanger,3,18.36
1592,Mok met foto,1,9.95
8691,Sleutelhanger,3,18.36
